EN,VI,Page / Screen
Upload by,Người tải lên,3.6 Personal
Upload CV file,Tải CV lên,Personal Info Popup
User Type,Loại Người Dùng,3.2 Education
Users,Người dùng,Home Page/Users Page
Users & Permission,Người dùng,1.1.2 Sidebar Extend
Vietnamese,Việt,1.1.3 Dropdown profile
View More,Xem thêm,Popup User Info
Ward,Phường/Xã,Personal Info Popup
Work Email,Email Công Việc,Add User
Work Experience,Kinh Nghiệm Làm Việc,3.2 Education
Working Location,Địa chỉ làm việc,Add Experience
